Label,Name
1,Hippocampus L
2,Hippocampus R
3,Amygdala L
4,Amygdala R
5,Anterior medial temporal lobe L
6,Anterior medial temporal lobe R
7,Anterior lateral temporal lobe L
8,Anterior lateral temporal lobe R
9,Ambient and parahippocampus gyri L
10,Ambient and parahippocampus gyri R
11,Superior temporal gyrus L
12,Superior temporal gyrus R
13,Inferior middle temporal gyrus L
14,Inferior middle temporal gyrus R
15,Fusiform gyrus L
16,Fusiform gyrus R
17,Cerebellum L
18,Cerebellum R
19,Insula L
20,Insula R
21,Lateral occipital lobe L
22,Lateral occipital lobe R
23,Anterior cingulate gyrus L
24,Anterior cingulate gyrus R
25,Posterior cingulate gyrus L
26,Posterior cingulate gyrus R
27,Middle frontal gyrus L
28,Middle frontal gyrus R
29,Posterior temporal lobe L
30,Posterior temporal lobe R
31,Inferior lateral parietal lobe L
32,Inferior lateral parietal lobe R
33,Caudate nucleus L
34,Caudate nucleus R
35,Accumbens nucleus L
36,Accumbens nucleus R
37,Putamen L
38,Putamen R
39,Thalamus L
40,Thalamus R
41,Pallidum L
42,Pallidum R
43,Precentral gyrus L
44,Precentral gyrus R
45,Gyrus rectus L
46,Gyrus rectus R
47,Orbito-frontal gyrus L
48,Orbito-frontal gyrus R
49,Inferior frontal gyrus L
50,Inferior frontal gyrus R
51,Superior frontal gyrus L
52,Superior frontal gyrus R
53,Postcentral gyrus L
54,Postcentral gyrus R
55,Superior parietal gyrus L
56,Superior parietal gyrus R
57,Lingual gyrus L
58,Lingual gyrus R
59,Cuneus L
60,Cuneus R
